RideID,BookingStatus,IncompleteRide,Rating
R000482,Incomplete,Yes,2
R000483,Completed,No,5
R000484,Completed,No,3
R000485,Completed,No,2
R000486,Completed,No,4
R000487,Completed,No,5
R000488,Completed,No,4
R000489,Completed,No,1
R000490,Completed,No,4
R000491,Completed,No,4
R000492,Cancelled,No,4
R000493,Completed,No,1
R000494,Completed,No,1
R000495,Completed,No,4
R000496,Cancelled,No,3
R000497,Completed,No,2
R000498,Completed,No,4
R000499,Completed,No,4
R000500,Completed,No,2
R000501,Completed,No,4
R000502,Cancelled,No,5
R000503,Cancelled,No,2
R000504,Completed,No,3
R000505,Completed,No,4
R000506,Cancelled,No,2
R000507,Completed,No,5
R000508,Completed,No,1
R000509,Incomplete,Yes,4
R000510,Cancelled,No,4
R000511,Completed,No,1
R000512,Completed,No,5
R000513,Completed,No,2
R000514,Completed,No,2
R000515,Completed,No,5
R000516,Completed,No,4
R000517,Completed,No,4
R000518,Completed,No,5
R000519,Completed,No,1
R000520,Completed,No,3
R000521,Completed,No,5
R000522,Completed,No,2
R000523,Completed,No,1
R000524,Cancelled,No,3
R000525,Completed,No,1
R000526,Cancelled,No,3
R000527,Completed,No,5
R000528,Completed,No,5
R000529,Completed,No,1
R000530,Completed,No,1
R000531,Cancelled,No,4
R000532,Completed,No,4
R000533,Cancelled,No,4
R000534,Cancelled,No,2
R000535,Completed,No,3
R000536,Cancelled,No,3
R000537,Completed,No,2
R000538,Completed,No,3
R000539,Completed,No,2
R000540,Cancelled,No,4
R000541,Completed,No,2
R000542,Completed,No,3
R000543,Completed,No,3
R000544,Completed,No,5
R000545,Completed,No,5
R000546,Incomplete,Yes,4
R000547,Cancelled,No,5
R000548,Completed,No,4
R000549,Completed,No,4
R000550,Completed,No,3
R000551,Completed,No,5
R000552,Completed,No,2
R000553,Completed,No,4
R000554,Completed,No,4
R000555,Incomplete,Yes,5
R000556,Completed,No,5
R000557,Completed,No,4
R000558,Completed,No,2
R000559,Cancelled,No,1
R000560,Completed,No,4
R000561,Completed,No,2
R000562,Completed,No,4
R000563,Completed,No,2
R000564,Completed,No,1
R000565,Completed,No,3
R000566,Completed,No,1
R000567,Completed,No,3
R000568,Completed,No,3
R000569,Completed,No,4
R000570,Completed,No,3
R000571,Completed,No,4
R000572,Completed,No,1
R000573,Completed,No,5
R000574,Completed,No,2
R000575,Incomplete,Yes,4
R000576,Completed,No,2
R000577,Completed,No,4
R000578,Completed,No,1
R000579,Completed,No,5
R000580,Completed,No,4
R000581,Completed,No,5
R000582,Completed,No,3
R000583,Completed,No,2
R000584,Completed,No,3
R000585,Incomplete,Yes,1
R000586,Completed,No,2
R000587,Completed,No,5
R000588,Incomplete,Yes,4
R000589,Completed,No,3
R000590,Incomplete,Yes,4
R000591,Completed,No,1
R000592,Cancelled,No,1
R000593,Completed,No,5
R000594,Completed,No,4
R000595,Completed,No,1
R000596,Completed,No,1
R000597,Completed,No,1
R000598,Incomplete,Yes,3
R000599,Completed,No,5
R000600,Incomplete,Yes,1
R000601,Completed,No,4
R000602,Cancelled,No,5
R000603,Completed,No,3
R000604,Incomplete,Yes,4
R000605,Incomplete,Yes,4
R000606,Completed,No,4
R000607,Completed,No,2
R000608,Completed,No,5
R000609,Completed,No,5
R000610,Completed,No,2
R000611,Completed,No,4
R000612,Completed,No,2
R000613,Completed,No,4
R000614,Completed,No,4
R000615,Completed,No,1
R000616,Incomplete,Yes,4
R000617,Completed,No,4
R000618,Completed,No,5
R000619,Completed,No,4
R000620,Completed,No,3
R000621,Completed,No,1
R000622,Completed,No,5
R000623,Incomplete,Yes,5
R000624,Completed,No,2
R000625,Completed,No,2
R000626,Completed,No,4
R000627,Completed,No,3
R000628,Completed,No,5
R000629,Completed,No,2
R000630,Completed,No,1
R000631,Cancelled,No,5
R000632,Completed,No,4
R000633,Completed,No,1
R000634,Completed,No,3
R000635,Completed,No,2
R000636,Completed,No,4
R000637,Completed,No,3
R000638,Completed,No,4
R000639,Cancelled,No,1
R000640,Incomplete,Yes,5
R000641,Completed,No,4
R000642,Completed,No,2
R000643,Completed,No,4
R000644,Completed,No,2
R000645,Completed,No,4
R000646,Completed,No,1
R000647,Completed,No,5
R000648,Completed,No,1
R000649,Completed,No,4
R000650,Completed,No,3
R000651,Completed,No,3
R000652,Completed,No,2
R000653,Completed,No,5
R000654,Completed,No,5
R000655,Completed,No,4
R000656,Completed,No,1
R000657,Completed,No,2
R000658,Completed,No,4
R000659,Cancelled,No,2
R000660,Completed,No,1
R000661,Completed,No,3
R000662,Completed,No,5
R000663,Completed,No,1
R000664,Completed,No,1
R000665,Incomplete,Yes,2
R000666,Completed,No,3
R000667,Completed,No,4
R000668,Completed,No,5
R000669,Completed,No,2
R000670,Completed,No,1
R000671,Cancelled,No,5
R000672,Completed,No,1
R000673,Incomplete,Yes,3
R000674,Completed,No,2
R000675,Completed,No,3
R000676,Completed,No,1
R000677,Incomplete,Yes,3
R000678,Completed,No,5
R000679,Completed,No,4
R000680,Completed,No,5
R000681,Completed,No,1
R000682,Completed,No,4
R000683,Completed,No,5
R000684,Completed,No,1
R000685,Completed,No,5
R000686,Completed,No,4
R000687,Completed,No,1
R000688,Completed,No,5
R000689,Completed,No,3
R000690,Completed,No,2
R000691,Completed,No,5
R000692,Completed,No,4
R000693,Completed,No,1
R000694,Completed,No,3
R000695,Completed,No,1
R000696,Completed,No,5
R000697,Completed,No,3
R000698,Completed,No,4
R000699,Completed,No,4
R000700,Completed,No,4
R000701,Completed,No,2
R000702,Completed,No,1
R000703,Completed,No,3
R000704,Completed,No,3
R000705,Completed,No,5
R000706,Completed,No,2
R000707,Completed,No,2
R000708,Completed,No,4
R000709,Completed,No,2
R000710,Completed,No,1
R000711,Completed,No,3
R000712,Cancelled,No,5
R000713,Completed,No,3
R000714,Completed,No,3
R000715,Incomplete,Yes,3
R000716,Cancelled,No,1
R000717,Cancelled,No,5
R000718,Completed,No,4
R000719,Incomplete,Yes,3
R000720,Completed,No,3
R000721,Completed,No,1
R000722,Cancelled,No,5
R000723,Completed,No,3
R000724,Completed,No,1
R000725,Cancelled,No,2
R000726,Completed,No,5
R000727,Completed,No,1
R000728,Cancelled,No,1
R000729,Completed,No,4
R000730,Completed,No,3
R000731,Completed,No,4
R000732,Completed,No,4
R000733,Completed,No,1
R000734,Completed,No,2
R000735,Completed,No,5
R000736,Completed,No,4
R000737,Completed,No,4
R000738,Completed,No,2
R000739,Completed,No,4
R000740,Completed,No,4
R000741,Completed,No,1
R000742,Completed,No,2
R000743,Completed,No,2
R000744,Completed,No,5
R000745,Completed,No,2
R000746,Completed,No,2
R000747,Completed,No,4
R000748,Incomplete,Yes,4
R000749,Completed,No,2
R000750,Completed,No,5
R000751,Completed,No,5
R000752,Completed,No,1
R000753,Completed,No,5
R000754,Completed,No,2
R000755,Completed,No,4
R000756,Completed,No,4
R000757,Completed,No,3
R000758,Completed,No,3
R000759,Completed,No,3
R000760,Cancelled,No,4
R000761,Completed,No,4
R000762,Completed,No,4
R000763,Cancelled,No,3
R000764,Completed,No,3
R000765,Completed,No,4
R000766,Completed,No,5
R000767,Completed,No,5
R000768,Incomplete,Yes,4
R000769,Completed,No,4
R000770,Completed,No,2
R000771,Completed,No,1
R000772,Completed,No,2
R000773,Completed,No,4
R000774,Completed,No,1
R000775,Incomplete,Yes,4
R000776,Cancelled,No,5
R000777,Completed,No,2
R000778,Completed,No,1
R000779,Completed,No,1
R000780,Completed,No,3
R000781,Completed,No,1
R000782,Completed,No,5
R000783,Cancelled,No,4
R000784,Completed,No,5
R000785,Completed,No,1
R000786,Completed,No,1
R000787,Completed,No,3
R000788,Completed,No,4
R000789,Cancelled,No,2
R000790,Incomplete,Yes,3
R000791,Completed,No,1
R000792,Cancelled,No,3
R000793,Completed,No,1
R000794,Completed,No,2
R000795,Incomplete,Yes,4
R000796,Completed,No,3
R000797,Completed,No,4
R000798,Completed,No,2
R000799,Completed,No,4
R000800,Completed,No,1
R000801,Completed,No,1
R000802,Completed,No,1
R000803,Completed,No,5
R000804,Completed,No,1
R000805,Completed,No,5
R000806,Completed,No,4
R000807,Completed,No,5
R000808,Completed,No,5
R000809,Completed,No,5
R000810,Cancelled,No,4
R000811,Completed,No,1
R000812,Completed,No,5
R000813,Completed,No,4
R000814,Completed,No,1
R000815,Completed,No,2
R000816,Cancelled,No,2
R000817,Completed,No,3
R000818,Completed,No,4
R000819,Completed,No,2
R000820,Completed,No,1
R000821,Completed,No,5
R000822,Cancelled,No,2
R000823,Completed,No,3
R000824,Completed,No,5
R000825,Completed,No,3
R000826,Completed,No,3
R000827,Cancelled,No,2
R000828,Completed,No,1
R000829,Completed,No,1
R000830,Completed,No,5
R000831,Completed,No,2
R000832,Incomplete,Yes,2
R000833,Completed,No,2
R000834,Completed,No,2
R000835,Completed,No,4
R000836,Incomplete,Yes,1
R000837,Completed,No,1
R000838,Incomplete,Yes,4
R000839,Completed,No,4
R000840,Completed,No,2
R000841,Completed,No,4
R000842,Incomplete,Yes,4
R000843,Completed,No,1
R000844,Completed,No,3
R000845,Completed,No,4
R000846,Completed,No,3
R000847,Completed,No,1
R000848,Incomplete,Yes,3
R000849,Completed,No,3
R000850,Completed,No,4
R000851,Completed,No,2
R000852,Completed,No,5
R000853,Completed,No,1
R000854,Completed,No,5
R000855,Completed,No,2
R000856,Completed,No,2
R000857,Completed,No,1
R000858,Completed,No,1
R000859,Completed,No,3
R000860,Completed,No,5
R000861,Completed,No,4
R000862,Completed,No,1
R000863,Completed,No,4
R000864,Incomplete,Yes,3
R000865,Incomplete,Yes,3
R000866,Incomplete,Yes,5
R000867,Completed,No,1
R000868,Completed,No,3
R000869,Completed,No,1
R000870,Completed,No,1
R000871,Cancelled,No,5
R000872,Completed,No,4
R000873,Completed,No,1
R000874,Cancelled,No,5
R000875,Completed,No,5
R000876,Completed,No,2
R000877,Completed,No,1
R000878,Completed,No,3
R000879,Completed,No,5
R000880,Completed,No,4
R000881,Completed,No,2
R000882,Completed,No,2
R000883,Completed,No,1
R000884,Completed,No,1
R000885,Completed,No,1
R000886,Completed,No,3
R000887,Completed,No,5
R000888,Completed,No,4
R000889,Cancelled,No,2
R000890,Completed,No,4
R000891,Cancelled,No,3
R000892,Completed,No,4
R000893,Completed,No,5
R000894,Completed,No,5
R000895,Completed,No,3
R000896,Completed,No,5
R000897,Cancelled,No,2
R000898,Completed,No,5
R000899,Completed,No,3
R000900,Completed,No,2
R000901,Completed,No,4
R000902,Completed,No,1
R000903,Completed,No,3
R000904,Completed,No,1
R000905,Incomplete,Yes,1
R000906,Completed,No,4
R000907,Completed,No,2
R000908,Completed,No,2
R000909,Completed,No,5
R000910,Completed,No,5
R000911,Incomplete,Yes,1
R000912,Completed,No,1
R000913,Incomplete,Yes,2
R000914,Completed,No,4
R000915,Incomplete,Yes,3
R000916,Completed,No,3
R000917,Completed,No,2
R000918,Completed,No,2
R000919,Cancelled,No,1
R000920,Completed,No,1
R000921,Incomplete,Yes,3
R000922,Completed,No,2
R000923,Cancelled,No,2
R000924,Incomplete,Yes,5
R000925,Completed,No,4
R000926,Completed,No,5
R000927,Completed,No,3
R000928,Incomplete,Yes,1
R000929,Completed,No,3
R000930,Completed,No,1
R000931,Completed,No,3
R000932,Completed,No,5
R000933,Completed,No,2
R000934,Completed,No,3
R000935,Cancelled,No,4
R000936,Completed,No,5
R000937,Incomplete,Yes,5
R000938,Completed,No,5
R000939,Completed,No,5
R000940,Completed,No,5
R000941,Completed,No,2
R000942,Completed,No,3
R000943,Completed,No,1
R000944,Completed,No,5
R000945,Completed,No,5
R000946,Completed,No,3
R000947,Completed,No,2
R000948,Completed,No,5
R000949,Completed,No,2
R000950,Completed,No,4
R000951,Incomplete,Yes,1
R000952,Completed,No,2
R000953,Completed,No,3
R000954,Completed,No,4
R000955,Completed,No,1
R000956,Completed,No,3
R000957,Incomplete,Yes,3
R000958,Completed,No,2
R000959,Completed,No,4
R000960,Completed,No,4
R000961,Completed,No,5
R000962,Completed,No,4
R000963,Completed,No,5
R000964,Completed,No,3
R000965,Incomplete,Yes,1
R000966,Completed,No,4
R000967,Completed,No,4
R000968,Completed,No,5
R000969,Completed,No,2
R000970,Completed,No,1
R000971,Cancelled,No,2
R000972,Completed,No,1
R000973,Completed,No,2
R000974,Completed,No,4
R000975,Completed,No,1
R000976,Completed,No,2
R000977,Completed,No,3
R000978,Completed,No,5
R000979,Completed,No,5
R000980,Completed,No,2
R000981,Completed,No,3
R000982,Completed,No,3
R000983,Cancelled,No,1
R000984,Completed,No,5
R000985,Incomplete,Yes,3
R000986,Completed,No,2
R000987,Completed,No,3
R000988,Completed,No,3
R000989,Completed,No,3
R000990,Completed,No,5
R000991,Completed,No,2
R000992,Completed,No,4
R000993,Completed,No,5
R000994,Completed,No,4
R000995,Completed,No,5
R000996,Completed,No,5
R000997,Incomplete,Yes,5
R000998,Completed,No,5
R000999,Completed,No,5
R001000,Completed,No,2
R001001,Completed,No,3
R001002,Completed,No,4
R001003,Completed,No,4
R001004,Completed,No,5
R001005,Incomplete,Yes,1
R001006,Incomplete,Yes,5
R001007,Completed,No,5
R001008,Cancelled,No,4
R001009,Completed,No,4
R001010,Completed,No,4
R001011,Completed,No,2
R001012,Completed,No,4
R001013,Incomplete,Yes,2
R001014,Completed,No,1
R001015,Completed,No,1
R001016,Incomplete,Yes,2
R001017,Cancelled,No,5
R001018,Completed,No,3
R001019,Completed,No,5
R001020,Cancelled,No,3
R001021,Completed,No,1
R001022,Completed,No,3
R001023,Incomplete,Yes,3
R001024,Completed,No,3
R001025,Completed,No,4
R001026,Completed,No,2
R001027,Completed,No,4
R001028,Cancelled,No,4
R001029,Completed,No,2
R001030,Completed,No,2
R001031,Completed,No,3
R001032,Incomplete,Yes,1
R001033,Completed,No,1
R001034,Completed,No,4
R001035,Completed,No,3
R001036,Completed,No,5
R001037,Completed,No,4
R001038,Completed,No,4
R001039,Cancelled,No,4
R001040,Completed,No,1
R001041,Completed,No,1
R001042,Completed,No,3
R001043,Completed,No,3
R001044,Completed,No,1
R001045,Completed,No,2
R001046,Completed,No,4
R001047,Completed,No,1
R001048,Cancelled,No,5
R001049,Completed,No,2
R001050,Completed,No,1
R001051,Incomplete,Yes,5
R001052,Completed,No,1
R001053,Completed,No,5
R001054,Completed,No,3
R001055,Completed,No,3
R001056,Completed,No,2
R001057,Cancelled,No,4
R001058,Incomplete,Yes,4
R001059,Completed,No,2
R001060,Completed,No,5
R001061,Completed,No,4
R001062,Completed,No,3
R001063,Completed,No,4
R001064,Completed,No,2
R001065,Completed,No,1
R001066,Completed,No,3
R001067,Completed,No,3
R001068,Cancelled,No,1
R001069,Completed,No,2
R001070,Completed,No,2
R001071,Completed,No,3
R001072,Completed,No,2
R001073,Completed,No,3
R001074,Completed,No,5
R001075,Completed,No,5
R001076,Completed,No,3
R001077,Completed,No,5
R001078,Completed,No,1
R001079,Completed,No,3
R001080,Completed,No,1
R001081,Completed,No,5
R001082,Completed,No,1
R001083,Incomplete,Yes,4
R001084,Completed,No,4
R001085,Completed,No,3
R001086,Completed,No,2
R001087,Completed,No,2
R001088,Completed,No,2
R001089,Completed,No,3
R001090,Completed,No,5
R001091,Completed,No,1
R001092,Completed,No,1
R001093,Completed,No,3
R001094,Completed,No,2
R001095,Completed,No,1
R001096,Cancelled,No,5
R001097,Completed,No,5
R001098,Completed,No,4
R001099,Completed,No,2
R001100,Completed,No,1
R001101,Completed,No,4
R001102,Completed,No,5
R001103,Completed,No,2
R001104,Completed,No,4
R001105,Incomplete,Yes,2
R001106,Completed,No,3
R001107,Completed,No,2
R001108,Completed,No,5
R001109,Completed,No,2
